,file,label
0,S001C001P001R001A001,0
1,S001C001P001R001A002,1
2,S001C001P001R001A003,2
3,S001C001P001R001A004,3
4,S001C001P001R001A005,4
5,S001C001P001R001A006,5
6,S001C001P001R001A007,6
7,S001C001P001R001A008,7
8,S001C001P001R001A009,8
9,S001C001P001R001A010,9
10,S001C001P001R001A011,10
11,S001C001P001R001A012,11
12,S001C001P001R001A013,12
13,S001C001P001R001A014,13
14,S001C001P001R001A015,14
15,S001C001P001R001A016,15
16,S001C001P001R001A017,16
17,S001C001P001R001A018,17
18,S001C001P001R001A019,18
19,S001C001P001R001A020,19
20,S001C001P001R001A021,20
21,S001C001P001R001A022,21
22,S001C001P001R001A023,22
23,S001C001P001R001A024,23
24,S001C001P001R001A025,24
25,S001C001P001R001A026,25
26,S001C001P001R001A027,26
27,S001C001P001R001A028,27
28,S001C001P001R001A029,28
29,S001C001P001R001A030,29
30,S001C001P001R001A031,30
31,S001C001P001R001A032,31
32,S001C001P001R001A033,32
33,S001C001P001R001A034,33
34,S001C001P001R001A035,34
35,S001C001P001R001A036,35
36,S001C001P001R001A037,36
37,S001C001P001R001A038,37
38,S001C001P001R001A039,38
39,S001C001P001R001A040,39
40,S001C001P001R001A041,40
41,S001C001P001R001A042,41
42,S001C001P001R001A043,42
43,S001C001P001R001A044,43
44,S001C001P001R001A045,44
45,S001C001P001R001A046,45
46,S001C001P001R001A047,46
47,S001C001P001R001A048,47
48,S001C001P001R001A049,48
49,S001C001P001R002A001,0
50,S001C001P001R002A002,1
51,S001C001P001R002A003,2
52,S001C001P001R002A004,3
53,S001C001P001R002A005,4
54,S001C001P001R002A006,5
55,S001C001P001R002A007,6
56,S001C001P001R002A008,7
57,S001C001P001R002A009,8
58,S001C001P001R002A010,9
59,S001C001P001R002A011,10
60,S001C001P001R002A012,11
61,S001C001P001R002A013,12
62,S001C001P001R002A014,13
63,S001C001P001R002A015,14
64,S001C001P001R002A016,15
65,S001C001P001R002A017,16
66,S001C001P001R002A018,17
67,S001C001P001R002A019,18
68,S001C001P001R002A020,19
69,S001C001P001R002A021,20
70,S001C001P001R002A022,21
71,S001C001P001R002A023,22
72,S001C001P001R002A024,23
73,S001C001P001R002A025,24
74,S001C001P001R002A026,25
75,S001C001P001R002A027,26
76,S001C001P001R002A028,27
77,S001C001P001R002A029,28
78,S001C001P001R002A030,29
79,S001C001P001R002A031,30
80,S001C001P001R002A032,31
81,S001C001P001R002A033,32
82,S001C001P001R002A034,33
83,S001C001P001R002A035,34
84,S001C001P001R002A036,35
85,S001C001P001R002A037,36
86,S001C001P001R002A038,37
87,S001C001P001R002A039,38
88,S001C001P001R002A040,39
89,S001C001P001R002A041,40
90,S001C001P001R002A042,41
91,S001C001P001R002A043,42
92,S001C001P001R002A044,43
93,S001C001P001R002A045,44
94,S001C001P001R002A046,45
95,S001C001P001R002A047,46
96,S001C001P001R002A048,47
97,S001C001P001R002A049,48
98,S001C001P002R001A001,0
99,S001C001P002R001A002,1
100,S001C001P002R001A003,2
101,S001C001P002R001A004,3
102,S001C001P002R001A005,4
103,S001C001P002R001A006,5
104,S001C001P002R001A007,6
105,S001C001P002R001A008,7
106,S001C001P002R001A009,8
107,S001C001P002R001A010,9
108,S001C001P002R001A011,10
109,S001C001P002R001A012,11
110,S001C001P002R001A013,12
111,S001C001P002R001A014,13
112,S001C001P002R001A015,14
113,S001C001P002R001A016,15
114,S001C001P002R001A017,16
115,S001C001P002R001A018,17
116,S001C001P002R001A019,18
117,S001C001P002R001A020,19
118,S001C001P002R001A021,20
119,S001C001P002R001A022,21
120,S001C001P002R001A023,22
121,S001C001P002R001A024,23
122,S001C001P002R001A025,24
123,S001C001P002R001A026,25
124,S001C001P002R001A027,26
125,S001C001P002R001A028,27
126,S001C001P002R001A029,28
127,S001C001P002R001A030,29
128,S001C001P002R001A031,30
129,S001C001P002R001A032,31
130,S001C001P002R001A033,32
131,S001C001P002R001A034,33
132,S001C001P002R001A035,34
133,S001C001P002R001A036,35
134,S001C001P002R001A037,36
135,S001C001P002R001A038,37
136,S001C001P002R001A039,38
137,S001C001P002R001A040,39
138,S001C001P002R001A041,40
139,S001C001P002R001A042,41
140,S001C001P002R001A043,42
141,S001C001P002R001A044,43
142,S001C001P002R001A045,44
143,S001C001P002R001A046,45
144,S001C001P002R001A047,46
145,S001C001P002R001A048,47
146,S001C001P002R001A049,48
147,S001C001P002R002A001,0
148,S001C001P002R002A002,1
149,S001C001P002R002A003,2
150,S001C001P002R002A004,3
151,S001C001P002R002A005,4
152,S001C001P002R002A006,5
153,S001C001P002R002A007,6
154,S001C001P002R002A008,7
155,S001C001P002R002A009,8
156,S001C001P002R002A010,9
157,S001C001P002R002A011,10
158,S001C001P002R002A012,11
159,S001C001P002R002A013,12
160,S001C001P002R002A014,13
161,S001C001P002R002A015,14
162,S001C001P002R002A016,15
163,S001C001P002R002A017,16
164,S001C001P002R002A018,17
165,S001C001P002R002A019,18
166,S001C001P002R002A020,19
167,S001C001P002R002A021,20
168,S001C001P002R002A022,21
169,S001C001P002R002A023,22
170,S001C001P002R002A024,23
171,S001C001P002R002A025,24
172,S001C001P002R002A026,25
173,S001C001P002R002A027,26
174,S001C001P002R002A028,27
175,S001C001P002R002A029,28
176,S001C001P002R002A030,29
177,S001C001P002R002A031,30
178,S001C001P002R002A032,31
179,S001C001P002R002A033,32
180,S001C001P002R002A034,33
181,S001C001P002R002A035,34
182,S001C001P002R002A036,35
183,S001C001P002R002A037,36
184,S001C001P002R002A038,37
185,S001C001P002R002A039,38
186,S001C001P002R002A040,39
187,S001C001P002R002A041,40
188,S001C001P002R002A042,41
189,S001C001P002R002A043,42
190,S001C001P002R002A044,43
191,S001C001P002R002A045,44
192,S001C001P002R002A046,45
193,S001C001P002R002A047,46
194,S001C001P002R002A048,47
195,S001C001P002R002A049,48
196,S001C001P003R001A001,0
197,S001C001P003R001A002,1
198,S001C001P003R001A003,2
199,S001C001P003R001A004,3
200,S001C001P003R001A005,4
201,S001C001P003R001A006,5
202,S001C001P003R001A007,6
203,S001C001P003R001A008,7
204,S001C001P003R001A009,8
205,S001C001P003R001A010,9
206,S001C001P003R001A011,10
207,S001C001P003R001A012,11
208,S001C001P003R001A013,12
209,S001C001P003R001A014,13
210,S001C001P003R001A015,14
211,S001C001P003R001A016,15
212,S001C001P003R001A017,16
213,S001C001P003R001A018,17
214,S001C001P003R001A019,18
215,S001C001P003R001A020,19
216,S001C001P003R001A021,20
217,S001C001P003R001A022,21
218,S001C001P003R001A023,22
219,S001C001P003R001A024,23
220,S001C001P003R001A025,24
221,S001C001P003R001A026,25
222,S001C001P003R001A027,26
223,S001C001P003R001A028,27
224,S001C001P003R001A029,28
225,S001C001P003R001A030,29
226,S001C001P003R001A031,30
227,S001C001P003R001A032,31
228,S001C001P003R001A033,32
229,S001C001P003R001A034,33
230,S001C001P003R001A035,34
231,S001C001P003R001A036,35
232,S001C001P003R001A037,36
233,S001C001P003R001A038,37
234,S001C001P003R001A039,38
235,S001C001P003R001A040,39
236,S001C001P003R001A041,40
237,S001C001P003R001A042,41
238,S001C001P003R001A043,42
239,S001C001P003R001A044,43
240,S001C001P003R001A045,44
241,S001C001P003R001A046,45
242,S001C001P003R001A047,46
243,S001C001P003R001A048,47
244,S001C001P003R001A049,48
245,S001C001P003R002A001,0
246,S001C001P003R002A002,1
247,S001C001P003R002A003,2
248,S001C001P003R002A004,3
249,S001C001P003R002A005,4
250,S001C001P003R002A006,5
251,S001C001P003R002A007,6
252,S001C001P003R002A008,7
253,S001C001P003R002A009,8
254,S001C001P003R002A010,9
255,S001C001P003R002A011,10
256,S001C001P003R002A012,11
257,S001C001P003R002A013,12
258,S001C001P003R002A014,13
259,S001C001P003R002A015,14
260,S001C001P003R002A016,15
261,S001C001P003R002A017,16
262,S001C001P003R002A018,17
263,S001C001P003R002A019,18
264,S001C001P003R002A020,19
